song,lyrics
wesleys-theory,"[Produced by Flying Lotus & Ronald ""Flippa"" Colson Additional production by Sounwave & Thundercat]   Every nigga is a star, ay, every nigga is a star Every nigga is a star, ay, every nigga is a star Every nigga is a star, ay Who will deny that you and I and every nigga is a star?   Hit me! When the four corners of this cocoon collide You’ll slip through the cracks hopin that you’ll survive Gather your wit, take a deep look inside Are you really who they idolize? To pimp a butterfly   At first, I did love you But now I just wanna fuck Late nights thinkin of you Until I get my nut Tossed and turned, lesson learned You was my first girlfriend Bridges burned, all across the board Destroyed, but what for?   When I get signed, homie, Imma act a fool Hit the dance floor, strobe lights in the room Snatch your little secretary bitch for the homies Blue-eyed devil with a fat ass monkey Imma buy a brand new Caddy on fours Trunk the hood up, two times, deuce-four Platinum on everythin, platinum on weddin ring Married to the game and a bad bitch chose When I get signed, homie, Ima buy a strap Straight from the CIA, set it on my lap Take a few M-16s to the hood Pass em all out on the block, whats good? Imma put the Compton swap meet by the White House Republican run up, get socked out Hit the Pres with a Cuban link on my neck Uneducated, but I got a million-dollar check like that   We shouldve never gave We shouldve never gave niggas money Go back home, money, go back home We shouldve never gave We shouldve never gave niggas money Go back home, money, go back home (Everybody get out)   At first, I did love you (Love you) But now I just wanna fuck Late nights thinkin of you (Of you) Until I get my nut (Can I get my nut?) Tossed and turned, lesson learned You was my first girlfriend Bridges burned, all across the board (Across the board) Destroyed, but what for?   Yo, whats up? Its Dre Remember the first time you came out to the house? You said you wanted a spot like mine But remember, anybody can get it The hard part is keepin it, motherfucker   What you want? You a house or a car? Forty acres and a mule, a piano, a guitar? Anythin, see, my name is Uncle Sam, Im your dog Motherfucker, you can live at the mall I know your kind (Thats why Im kind) Dont have receipts (Oh, man, thats fine) Pay me later, wear those gators Cliché, then say, ""Fuck your haters"" I can see the borrow in you, I can see the dollar in you Little white lies, but its no white-collar in you But its whatever though because Im still followin you Because you make me live forever, baby Count it all together, baby Then hit the register and make me feel better, baby Your horoscope is a gemini, two sides So you better cop everything two times Two coupes, two chains, two C-notes Too much aint enough, both we know Christmas, tell em whats on your wish list Get it all, you deserve it Kendrick And when you hit the White House, do you But remember, you aint pass economics in school And everything you buy, taxes will deny Ill Wesley Snipe your ass before thirty-five   Yeah, lookin down, its quite a drop (Its quite a drop, drop) Lookin good when youre on top (when youre on top, you got it) You got a medal for us Leavin miracles metaphysically in a state of euphoria Look both ways before you cross my mind   We shouldve never gave We shouldve never gave niggas money Go back home, money, go back home We shouldve never gave We shouldve never gave niggas money Go back home, money, go back home   Tax man comin, tax man comin Tax man comin, tax man comin Tax man comin, tax man comin Tax man comin, tax man comin"
for-free-interlude,"   Fuck you, motherfucker, you a ho-ass nigga I dont know why you trying to go big, nigga you aint shit. Walking around like you Gods gift to Earth, nigga you aint shit You aint even buy me no outfit for the fourth I need that Brazilian, wavy, twenty eight inch, you playin I shouldnt be fuckin with you anyway I need a baller-ass, boss-ass nigga Youse a off brand-ass nigga, everybody know it Your homies know it, everybody fuckin know Fuck you nigga, dont call me no more You wont know, you gonna lose on a good bitch My other nigga is on, you off What the fuck is really going on?   This dick aint free You lookin at me like it aint a receipt Like I never made ends meat, eatin your leftovers and raw meat This dick aint free Livin in captivity raised my cap salary Celery, tellin me green is all I need Evidently all I seen was spam and raw sardines This dick aint free, I mean, baby You really think we could make a baby named Mercedes Without a Mercedes Benz and twenty four inch rims Five percent tint, and air conditioning vents Hell fuckin naw, this dick aint free I need forty acres and a mule Not a forty ounce and a pit bull Bullshit, matador, matador Had the door knockin, let em in, whos that? Genitals best friend, this dick aint free Pity the fool that made the pretty in you prosper Titty juice and pussy lips kept me obnoxious Kept me up watchin pornos in poverty - apology? No Watch you politic with people less fortunate, like myself Every dog has its day, now doggy style shall help This dick aint free Matter of fact, it need interest Matter of fact, its nine inches Matter of fact, see our friendship based on business Pension, more pension, youre pinchin, my consensus Been relentless, fuck forgiveness, fuck your feelings Fuck your sources, all distortion, if you fuck its more abortion More divorce courts and portion My check with less endorsement left me dormant Dusted, doomed, disgusted, forced with Fuck you think is in more shit? Porcelain pipes pressure, bust em twice Choice is devastated, decapitated the horseman Oh America, you bad bitch, I picked cotton and made you rich Now my dick aint free   Imma get my Uncle Sam to fuck you up. You aint no king"
king-kunta,"   I got a bone to pick I dont want you monkey-mouth motherfuckers Sittin in my throne again Ayy, ayy, nigga whats happenin? K-Dot back in the hood, nigga! Im mad (He mad!), but I aint stressin True friends, one question   Bitch, where you when I was walkin? Now I run the game, got the whole world talkin King Kunta Everybody wanna cut the legs off him (King) Kunta Black man taking no losses, oh yeah Bitch, where you when I was walkin? Now I run the game, got the whole world talkin King Kunta Everybody wanna cut the legs off him When you got the yams—(Whats the yams?)   The yam is the power that be You can smell it when Im walkin down the street (Oh yes, we can, oh yes, we can) I can dig rappin, but a rapper with a ghost writer? What the fuck happened? (Oh no!) I swore I wouldnt tell, but most of yall sharing bars Like you got the bottom bunk in a two-man cell (A two man cell) Somethings in the water (somethings in the water) And if I gotta brown-nose for some gold Then Id rather be a bum than a motherfuckin baller   Bitch, where you when I was walkin? Now I run the game, got the whole world talkin King Kunta Everybody wanna cut the legs off him (King) Kunta Black man taking no losses, oh yeah Bitch, where you when I was walkin? Now I run the game, got the whole world talkin King Kunta Everybody wanna cut the legs off him When you got the yams—(Whats the yams?)   The yam brought it out of Richard Pryor Manipulated Bill Clinton with desires 24/7, 365 days times two I was contemplatin gettin on stage Just to go back to the hood, see my enemy, and say… (oh yeah)   Bitch, where you when I was walkin? Now I run the game, got the whole world talkin King Kunta Everybody wanna cut the legs off him (King) Kunta Black man taking no losses, oh yeah Bitch, where you when I was walkin? Now I run the game, got the whole world talkin King Kunta Everybody wanna cut the legs off him    You goat-mouth mammyfucker I was gonna kill a couple rappers, but they did it to themselves Everybodys suicidal, they aint even need my help This shit is elementary, Ill probably go to jail If I shoot at your identity and bounce to the left Stuck a flag in my city, everybodys screamin ""Compton!"" I should probably run for mayor when Im done, to be honest And I put that on my mama and my baby boo too Twenty million walkin out the court buildin, woo woo! Ah yeah, fuck the judge, I made it past 25, and there I was A little nappy-headed nigga with the world behind him Life aint shit but a fat vagina Screamin ""Annie, are you okay? Annie, are you okay?"" Limo tinted with the gold plates Straight from the bottom, this the belly of the beast From a peasant to a prince to a motherfuckin king   Bitch, where was you when I was walkin—(*POP*) By the time you hear the next pop The funk shall be within you—(*POP*) Now I run the game, got the whole world talkin King Kunta Everybody wanna cut the legs off him (King) Kunta Black man taking no losses, oh yeah Bitch, where was you when I was walkin? Now I run the game, got the whole world talkin King Kunta Everybody wanna cut the legs off him   (Funk, funk, funk, funk, funk, funk) We want the funk We want the funk (Now if I give you the funk, you gon take it) We want the funk (Now if I give you the funk, you gon take it) We want the funk (Now if I give you the funk, you gon take it) We want the funk (Do you want the funk?) We want the funk (Do you want the funk?) We want the funk (Now if I give you the funk, you gon take it) We want the funk   I remember you was conflicted, misusing your influence"
institutionalized,"   What money got to do with it When I dont know the full definition of a rap image? Im trapped inside the ghetto and I aint proud to admit it Institutionalized, I keep runnin back for a visit Hol up, get it back I said Im trapped inside the ghetto and I aint proud to admit it Institutionalized, I could still kill me a nigga, so what?   If I was the president Id pay my mamas rent Free my homies and them Bulletproof my Chevy doors Lay in the White House and get high, Lord Who ever thought? Master, take the chains off me!     Zoom Zoom Zoom Zoom Zoom Zoom, Zoom, Zoom Zoom Zoom Zoom Zoom Zoom Zoom, Zoom, Zoom Shit   Life to me, like a box of chocolate Quid pro quo, somethin for somethin, thats the obvious Oh shit, flows so sick, dont you swallow it Bitin my style, youre salmonella poison positive I can just alleviate the rap industry politics Milk the game up, never lactose intolerant The last remainder of real shit, you know the obvious Me, scholarship? No, streets put me through colleges Be all you can be, true, but the problem is Dream only a dream if work dont follow it Remind me of the homies that used to know me, now follow this Ill tell you my hypothesis, Im probably just way too loyal K Dizzle will do it for you, my niggas think Im a god Truthfully all of em spoiled, usually youre never charged But somethin came over you once I took you to the fuckin BET Awards You lookin at artists like the harvests So many Rollies around you and you want all of them Somebody told me you thinkin bout snatchin jewelry I shouldve listened when my grandmama said to me   Shit dont change until you get up and wash yo ass, nigga Shit dont change until you get up and wash yo ass, boy Shit dont change until you get up and wash yo ass, nigga Oh now, slow down   And once upon a time, in a city so divine Called West Side Compton, there stood a little nigga He was 5 foot something, God bless the kid Took his homie to the show and this is what they said   Fuck am I posed to do when Im lookin at walkin licks? The constant big money talk bout the mansion and foreign whips The private jets and passport, presidential glass floor Gold bottles, gold models, sniffin up the ass for Instagram flicks, suckin dick, fuck is this? One more sucker wavin wit a flashy wrist My defense, mechanism tell me to get him Quickly because he got it Its a recession, then why the fuck he at King of Diamonds? No more livin poor, meet my four-four When I see em, put the per diem on the floor Now Kendrick, know theyre your co-workers But its gon take a lot for this pistol go cold turkey Now I can watch his watch on the TV and be okay But see Im on the clock once that watch landin in LA Remember steal from the rich and givin it back to the poor? Well thats me at these awards I guess my grandmama was warnin a boy She said...   Shit dont change until you get up and wash yo ass, nigga Shit dont change until you get up and wash yo ass, boy Shit dont change until you get up and wash yo ass, nigga Oh now, slow down   And once upon a time, in a city so divine Called West Side Compton, there stood a little nigga He was 5 foot something, dazed and confused Talented but still under the neighborhood ruse You can take your boy out the hood but you cant take  the hood out the homie Took his show money, stashed it in the mozey wozey Hollywoods nervous Fuck you, goodnight, thank you much for your service"
these-walls,"    I remember you was conflicted, misusing your influence Sometimes, I did the same  If these walls could talk If these walls could talk If these walls could talk If these walls could talk If these walls could talk If these walls could talk Sex   She just want to close her eyes and sway With you, with you, with you Exercise her right to work it out Its true, its true, its true Shout out to the birthday girls, say hey (Hey), say hey (Hey) (Ah, girl) Everyone deserves a night to play (Play) And she plays only when you tell her no   If these walls could talk (I can feel your reign when it cries, gold lives inside of you) If these walls could talk (I love it when I’m in it, I love it when I’m in it)   If these walls could talk, they’d tell me to swim good No boat, I float better than he would No life jacket, I’m not the God of Nazareth But your flood can be misunderstood Walls telling me they full of pain, resentment Need someone to live in them just to relieve tension Me, I’m just a tenant Landlord said these walls vacant more than a minute These walls are vulnerable, exclamation Interior pink, color coordinated I interrogated every nook and cranny I mean, its still amazing, before they couldn’t stand me These walls want to cry tears These walls happier when I’m here These walls never could hold up Every time I come around, demolition might crush   If these walls could talk (I can feel your reign when it cries, gold lives inside of you) If these walls could talk (I love it when I’m in it, I love it when I’m in it)   If these walls could talk, they’d tell me to go deep Yelling at me continuously, I can see Your defense mechanism is my decision Knock these walls down, that’s my religion Walls feeling like they ready to close in I suffocate, then catch my second wind I resonate in these walls I don’t know how long I can wait in these walls I’ve been on the streets too long Looking at you from the outside in They sing the same old song About how they walls always the cleanest I beg to differ, I must’ve missed them I’m not involved, I’d rather diss them I’d rather call on you, put your wall up Cause when I come around, demolition gon’ crush   If these walls could talk (I can feel your reign when it cries, gold lives inside of you) If these walls could talk (I love it when I’m in it, I love it when I’m in it)     If your walls could talk, they’d tell you it’s too late Your destiny accepted your fate Burn accessories and stash them where they are Take the recipe, the Bible and God Wall telling you that commissary is low Race wars happening, no calling CO No calling your mother to save you Homies to say youre reputable, not acceptable Your behavior is Sammy Da Bull like A killer that turned snitch Walls is telling me you a bitch You pray for appeals hoping the warden would afford them That sentence so important Walls telling you to listen to ""Sing About Me"" Retaliation is strong, you even dream bout me Killed my homeboy and God spared your life Dumb criminal got indicted same night So when you play this song, rewind the first verse About me abusing my power so you can hurt About me and her in the shower whenever she horny About me and her in the after hours of the morning About her baby daddy currently serving life And how she think about you until we meet up at night About the only girl that cared about you when you asked her And how she fucking on a famous rapper Walls could talk   I remember you was conflicted Misusing your influence Sometimes I did the same Abusing my power, full of resentment Resentment that turned into a deep depression Found myself screaming in a hotel room"
u,"     Loving you is complicated, loving you is complicated Loving you is complicated, loving you is complicated Loving you is complicated, loving you is complicated Loving you is complicated, loving you is complicated Loving you is complicated, loving you is complicated   I place blame on you still, place shame on you still Feel like you aint shit, feel like you dont feel Confidence in yourself, breakin on marble floors Watchin anonymous strangers, tellin me that Im yours But you aint shit, Im convinced your tolerance nothin special What can I blame you for, nigga I can name several Situations, Ill start with your little sister bakin A baby inside, just a teenager, where your patience? Where was your antennas? Where was the influence you speak of? You preached in front of 100,000 but never reached her I fuckin tell you, you fuckin failure—you aint no leader! I never liked you, forever despise you—I dont need you! The world dont need you, dont let them deceive you Numbers lie too, fuck your pride too, thats for dedication Thought money would change you Made you more complacent I fuckin hate you, I hope you embrace it I swear—   Loving you is complicated, loving you is complicated Loving you is complicated, loving you is complicated Loving you is complicated, loving you is complicated Loving you is complicated, loving you is complicated Loving you is complicated, loving you is complicated   Lovin you, lovin you, not lovin you, 100° proof I can feel your vibe and recognize that youre ashamed of me Yes, I hate you, too   House keeping (Knocking) House keeping ¡Abre la puerta! ¡Abre la puerta tengo que limpiar el cuarto! ¡Es que no hay mucho tiempo tengo que limpiar el cuarto! ¡Disculpe!   You the reason why mama and them leavin No you aint shit, you say you love them, I know you dont mean it I know youre irresponsible, selfish, in denial, cant help it Your trials and tribulations a burden, everyone felt it Everyone heard it, multiple shots, corners cryin out You was deserted, where was your antennas again? Where was your presence, where was your support that you pretend? You ain’t no brother, you ain’t no disciple, you ain’t no friend A friend never leave Compton for profit or leave his best friend Little brother, you promised you’d watch him before they shot him Where was your antennas, on the road, bottles and bitches You faced time the one time, thats unforgiven You even Facetimed instead of a hospital visit Guess you thought he would recover well Third surgery, they couldnt stop the bleeding for real Then he died, God himself will say ""you fuckin failed"" You aint try   I know your secrets nigga Mood swings is frequent nigga I know depression is restin on your heart for two reasons nigga I know you and a couple block boys aint been speakin nigga Yall damn near beefin, I seen it and youre the reason nigga And if this bottle could talk *gulp* I cry myself to sleep Bitch everything is your fault Faults breakin to pieces, earthquakes on every weekend Because you shook as soon as you knew confinement was needed I know your secrets, dont let me tell them to the world About that shit you thinkin and that time you *gulp* Im bout to hurl Im fucked up, but I aint as fucked up as you You just cant get right, I think your heart made of bullet proof Shoulda killed yo ass a long time ago You shoulda feeled that black revolver blast a long time ago And if those mirrors could talk it would say ""you gotta go"" And if I told your secrets The worldll know money cant stop a suicidal weakness"
alright,"    Alls my life I has to fight, nigga Alls my life I... Hard times like, ""God!"" Bad trips like, ""Yeah!"" Nazareth, Im fucked up Homie, you fucked up But if God got us, then we gon be alright   Nigga, we gon be alright Nigga, we gon be alright We gon be alright Do you hear me, do you feel me? We gon be alright Nigga, we gon be alright Huh? We gon be alright Nigga, we gon be alright Do you hear me, do you feel me? We gon be alright   Uh, and when I wake up I recognize youre looking at me for the pay cut But homicide be looking at you from the face down What MAC-11 even boom with the bass down? Schemin, and let me tell you bout my life Painkillers only put me in the twilight Where pretty pussy and Benjamin is the highlight Now tell my momma I love her, but this what I like, Lord knows 20 of em in my Chevy, tell em all to come and get me Reaping everything I sow, so my karma comin heavy No preliminary hearings on my record Im a motherfucking gangster in silence for the record Tell the world I know its too late Boys and girls, I think I gone cray Drown inside my vices all day Wont you please believe when I say   Wouldnt you know We been hurt, been down before Nigga, when our pride was low Lookin at the world like, ""Where do we go?"" Nigga, and we hate po-po Wanna kill us dead in the street fo sho Nigga, Im at the preachers door My knees gettin weak, and my gun might blow But we gon be alright   Nigga, we gon be alright Nigga, we gon be alright We gon be alright Do you hear me, do you feel me? We gon be alright Nigga, we gon be alright Huh? We gon be alright Nigga, we gon be alright Do you hear me, do you feel me? We gon be alright   What you want you: a house or a car? 40 acres and a mule? A piano, a guitar? Anything, see my name is Lucy, Im your dog Motherfucker, you can live at the mall I can see the evil, I can tell it, I know its illegal I dont think about it, I deposit every other zero Thinking of my partner, put the candy, paint it on the Regal Digging in my pocket, aint a profit big enough to feed you Everyday my logic get another dollar just to keep you In the presence of your chico... Ah! I dont talk about it, be about it, everyday I sequel If I got it then you know you got it, Heaven, I can reach you Pet dog, pet dog, pet dog, my dog, thats all Pick back and chat, I trap the back for yall I rap, I black on track so rest assured My rights, my wrongs; I write til Im right with God   Wouldnt you know We been hurt, been down before Nigga, when our pride was low Lookin at the world like, ""Where do we go?"" Nigga, and we hate po-po Wanna kill us dead in the street fo sho Nigga, Im at the preachers door My knees gettin weak, and my gun might blow But we gon be alright   Nigga, we gon be alright Nigga, we gon be alright We gon be alright Do you hear me, do you feel me? We gon be alright Nigga, we gon be alright Huh? We gon be alright Nigga, we gon be alright Do you hear me, do you feel me? We gon be alright   I keep my head up high I cross my heart and hope to die Lovin me is complicated Too afraid, a lot of changes Im alright, and youre a favorite Dark nights in my prayers   I remembered you was conflicted Misusing your influence, sometimes I did the same Abusing my power, full of resentment Resentment that turned into a deep depression Found myself screamin in the hotel room I didnt wanna self-destruct The evils of Lucy was all around me So I went runnin for answers"
for-sale-interlude," Oh, oh, oh, ohhhh, ohh, ohh Oh, oh, oh, ohhhh, ohh, ohh Breathing Whats wrong, nigga? I thought you was keeping it gangsta I thought this what you wanted They say if you scared, go to church But remember, he knows the bible too   Now baby when I get you get you get you get you Ima go hit the throttle with you Smoking lokin poking that doja till Im idle with you Cause I (want you) Now baby when Im riding here Im riding dirty Registration is out of service Smoking lokin drinking that potion you can see me swerving Cause I (want you) (I want you more than you know)   I remember you took me to the mall last week baby You looked me in my eyes about 4 5 times Till I was hypnotized then you clarified That I (want you) You said Sherane aint got nothing on Lucy I said, ""you crazy?"" Roses are red violets are blue but me and you both pushing up daisies if I (want you)   Now baby when I get you get you get you get you Ima go hit the throttle with you Smoking lokin poking that doja till Im idle with you   You said to me You said your name was Lucy I said ""wheres Ricardo?"" You said ""oh no, not the show"" Then you spit a little rap to me like this When I turned 26 I was like ""oh shit"" You said to me I remember what you said too, you said ""My name is Lucy, Kendrick You introduced me Kendrick Usually I don’t do this But I see you and me Kendrick Lucy give you no worries Lucy got million stories About these rappers that I came after when they was boring Lucy gon fill your pockets Lucy gon move your mama out of Compton Inside the gi-gantic mansion like I promised Lucy just want your trust and loyalty Avoiding me? Its not so easy Im at these functions accordingly Kendrick, Lucy dont slack a minute Lucy work harder Lucy gon call you even when Lucy know you love your Father Im Lucy I loosely heard prayers on your first album truly Lucy dont mind cause at the end of the day youll pursue me Lucy go get it, Lucy not timid, Lucy up front Lucy got paper work on top of paper work I want you to know that Lucy got you All your life I watched you And now you all grown up to sign this contract if that’s possible""   Now baby when I get you get you get you get you Ima go hit the throttle with you Smoking lokin poking the doja till Im idle with you Cause I (want you) Now baby when Im riding here Im riding dirty Registration is out of service Smoking lokin drinking that potion you can see me swerving Cause I (want you)   I remembered you was conflicted Misusing your influence, sometimes I did the same Abusing my power full of resentment Resentment that turned into a deep depression Found myself screamin in the hotel room I didnt wanna self destruct The evils of Lucy was all around me So I went runnin for answers Until I came home  "
